# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.712433623149991035e-03 2.665589332580566406e+00 1.061030149459838867e+00 3.453468671068549156e-03 2.665589332580566406e+00 1.061030149459838867e+00
1.000000000000000000e+03 7.666538469493389130e-03 7.384856045246124268e-02 9.205123782157897949e-02 5.063329823315143585e-03 7.384856045246124268e-02 9.205123782157897949e-02
2.000000000000000000e+03 6.420924328267574310e-03 3.353032842278480530e-02 2.350978180766105652e-02 3.586435923352837563e-03 3.353032842278480530e-02 2.350978180766105652e-02
3.000000000000000000e+03 5.522800143808126450e-03 2.617477811872959137e-02 1.506423670798540115e-02 3.848731750622391701e-03 2.617477811872959137e-02 1.506423670798540115e-02
4.000000000000000000e+03 4.144511651247739792e-03 2.227506414055824280e-02 1.204183138906955719e-02 2.916263882070779800e-03 2.227506414055824280e-02 1.204183138906955719e-02
5.000000000000000000e+03 3.482717787846922874e-03 1.881338283419609070e-02 1.046594977378845215e-02 2.462842036038637161e-03 1.881338283419609070e-02 1.046594977378845215e-02
6.000000000000000000e+03 2.866215072572231293e-03 1.652597077190876007e-02 8.429067209362983704e-03 2.224413678050041199e-03 1.652597077190876007e-02 8.429067209362983704e-03
7.000000000000000000e+03 2.548019401729106903e-03 1.477930508553981781e-02 7.494999561458826065e-03 1.966040348634123802e-03 1.477930508553981781e-02 7.494999561458826065e-03
8.000000000000000000e+03 6.447408348321914673e-03 1.470048446208238602e-02 6.226160097867250443e-03 3.191753756254911423e-03 1.470048446208238602e-02 6.226160097867250443e-03
9.000000000000000000e+03 2.154136309400200844e-03 1.286836713552474976e-02 6.402789615094661713e-03 1.572732697241008282e-03 1.286836713552474976e-02 6.402789615094661713e-03
1.000000000000000000e+04 2.027528360486030579e-03 1.221279613673686981e-02 6.005025468766689301e-03 1.442597713321447372e-03 1.221279613673686981e-02 6.005025468766689301e-03
1.100000000000000000e+04 1.823317259550094604e-03 1.164077036082744598e-02 6.046413443982601166e-03 1.405889866873621941e-03 1.164077036082744598e-02 6.046413443982601166e-03
1.200000000000000000e+04 1.791734364815056324e-03 1.127502601593732834e-02 5.344853270798921585e-03 1.227942411787807941e-03 1.127502601593732834e-02 5.344853270798921585e-03
1.300000000000000000e+04 1.683254027739167213e-03 1.089518144726753235e-02 5.082009825855493546e-03 1.132904086261987686e-03 1.089518144726753235e-02 5.082009825855493546e-03
1.400000000000000000e+04 1.588999992236495018e-03 1.051750592887401581e-02 4.854346625506877899e-03 1.047983183525502682e-03 1.051750592887401581e-02 4.854346625506877899e-03
1.500000000000000000e+04 3.129084035754203796e-02 1.165094040334224701e-02 4.331534728407859802e-03 8.588509634137153625e-03 1.165094040334224701e-02 4.331534728407859802e-03
1.500000000000000000e+04 3.129084035754203796e-02 1.165094040334224701e-02 4.331534728407859802e-03 8.588509634137153625e-03 1.165094040334224701e-02 4.331534728407859802e-03
1.584400000000000000e+04 1.400818116962909698e-03 5.829545552842319012e-04 6.555682630278170109e-04 7.635747897438704967e-04 5.829545552842319012e-04 6.555682630278170109e-04
