0 [1.00e-01]
100 [1.15e-01]
200 [1.16e-01]
300 [1.17e-01]
400 [1.18e-01]
500 [1.20e-01]
600 [1.23e-01]
700 [1.24e-01]
800 [1.30e-01]
900 [1.38e-01]
1000 [1.44e-01]
1100 [1.49e-01]
1200 [1.60e-01]
1300 [1.68e-01]
1400 [1.81e-01]
1500 [1.80e-01]
1600 [1.85e-01]
1700 [2.15e-01]
1800 [2.16e-01]
1900 [2.22e-01]
2000 [2.48e-01]
2100 [2.71e-01]
2200 [2.26e-01]
2300 [2.21e-01]
2400 [2.32e-01]
2500 [2.32e-01]
2600 [2.38e-01]
2700 [2.47e-01]
2800 [2.47e-01]
2900 [2.56e-01]
3000 [2.51e-01]
3100 [2.57e-01]
3200 [2.54e-01]
3300 [2.55e-01]
3400 [2.56e-01]
3500 [2.58e-01]
3600 [2.58e-01]
3700 [2.56e-01]
3800 [2.55e-01]
3900 [2.56e-01]
4000 [2.59e-01]
4100 [2.56e-01]
4200 [2.55e-01]
4300 [2.56e-01]
4400 [2.61e-01]
4500 [2.55e-01]
4600 [2.60e-01]
4700 [2.58e-01]
4800 [2.60e-01]
4900 [2.56e-01]
5000 [2.57e-01]
5100 [2.59e-01]
5200 [2.58e-01]
5300 [2.59e-01]
5400 [2.62e-01]
5500 [2.58e-01]
5600 [2.59e-01]
5700 [2.60e-01]
5800 [2.60e-01]
5900 [2.61e-01]
6000 [2.60e-01]
6100 [2.61e-01]
6200 [2.60e-01]
6300 [2.60e-01]
6400 [2.60e-01]
6500 [2.60e-01]
6600 [2.60e-01]
6700 [2.60e-01]
6800 [2.59e-01]
6900 [2.59e-01]
7000 [2.59e-01]
7100 [2.57e-01]
7200 [2.57e-01]
7300 [2.56e-01]
7400 [2.55e-01]
7500 [2.55e-01]
7600 [2.53e-01]
7700 [2.52e-01]
7800 [2.52e-01]
7900 [2.51e-01]
8000 [2.50e-01]
8100 [2.49e-01]
8200 [2.48e-01]
8300 [2.47e-01]
8400 [2.46e-01]
8500 [2.45e-01]
8600 [2.45e-01]
8700 [2.43e-01]
8800 [2.43e-01]
8900 [2.41e-01]
9000 [2.41e-01]
9100 [2.40e-01]
9200 [2.39e-01]
9300 [2.38e-01]
9400 [2.38e-01]
9500 [2.36e-01]
9600 [2.35e-01]
9700 [2.34e-01]
9800 [2.34e-01]
9900 [2.33e-01]
10000 [2.31e-01]
10005 [2.31e-01]
10005 [2.31e-01]
11429 [9.67e-02]
