0 [1.00e-03]
100 [9.91e-03]
200 [1.77e-02]
300 [3.18e-02]
400 [3.02e-02]
500 [2.62e-02]
600 [2.26e-02]
700 [2.24e-02]
800 [2.24e-02]
900 [2.13e-02]
1000 [1.88e-02]
1100 [1.79e-02]
1200 [1.85e-02]
1300 [1.79e-02]
1400 [1.85e-02]
1500 [1.98e-02]
1600 [2.05e-02]
1700 [2.27e-02]
1800 [2.32e-02]
1900 [3.12e-02]
2000 [6.53e-02]
2100 [1.15e-01]
2200 [1.46e-01]
2300 [1.67e-01]
2400 [2.00e-01]
2500 [2.09e-01]
2600 [2.24e-01]
2700 [2.36e-01]
2800 [2.44e-01]
2900 [2.56e-01]
3000 [2.84e-01]
3100 [2.87e-01]
3200 [2.96e-01]
3300 [3.15e-01]
3400 [3.18e-01]
3500 [3.39e-01]
3600 [3.41e-01]
3700 [3.45e-01]
3800 [3.46e-01]
3900 [3.47e-01]
4000 [3.58e-01]
4100 [3.55e-01]
4200 [3.61e-01]
4300 [3.56e-01]
4400 [3.62e-01]
4500 [3.60e-01]
4600 [3.67e-01]
4700 [3.66e-01]
4800 [3.63e-01]
4900 [3.72e-01]
5000 [3.65e-01]
5100 [3.67e-01]
5200 [3.72e-01]
5300 [3.70e-01]
5400 [3.67e-01]
5500 [3.71e-01]
5600 [3.71e-01]
5700 [3.69e-01]
5800 [3.74e-01]
5900 [3.72e-01]
6000 [3.69e-01]
6100 [3.72e-01]
6200 [3.72e-01]
6300 [3.75e-01]
6400 [3.72e-01]
6500 [3.70e-01]
6600 [3.73e-01]
6700 [3.73e-01]
6800 [3.75e-01]
6900 [3.73e-01]
7000 [3.76e-01]
7100 [3.74e-01]
7200 [3.72e-01]
7300 [3.74e-01]
7400 [3.71e-01]
7500 [3.72e-01]
7600 [3.72e-01]
7700 [3.75e-01]
7800 [3.72e-01]
7900 [3.72e-01]
8000 [3.72e-01]
8100 [3.73e-01]
8200 [3.72e-01]
8300 [3.73e-01]
8400 [3.72e-01]
8500 [3.73e-01]
8600 [3.76e-01]
8700 [3.73e-01]
8800 [3.73e-01]
8900 [3.72e-01]
9000 [3.72e-01]
9100 [3.71e-01]
9200 [3.72e-01]
9300 [3.74e-01]
9400 [3.73e-01]
9500 [3.72e-01]
9600 [3.71e-01]
9700 [3.70e-01]
9800 [3.70e-01]
9900 [3.70e-01]
10000 [3.71e-01]
10100 [3.70e-01]
10200 [3.69e-01]
10300 [3.70e-01]
10400 [3.68e-01]
10500 [3.68e-01]
10600 [3.68e-01]
10700 [3.69e-01]
10800 [3.68e-01]
10900 [3.67e-01]
11000 [3.67e-01]
11100 [3.68e-01]
11200 [3.66e-01]
11300 [3.66e-01]
11400 [3.66e-01]
11500 [3.65e-01]
11600 [3.64e-01]
11700 [3.63e-01]
11800 [3.63e-01]
11900 [3.65e-01]
12000 [3.62e-01]
12100 [3.62e-01]
12200 [3.61e-01]
12300 [3.62e-01]
12400 [3.60e-01]
12500 [3.59e-01]
12600 [3.59e-01]
12700 [3.59e-01]
12800 [3.58e-01]
12900 [3.58e-01]
13000 [3.57e-01]
13100 [3.56e-01]
13200 [3.56e-01]
13300 [3.55e-01]
13400 [3.54e-01]
13500 [3.54e-01]
13600 [3.54e-01]
13700 [3.53e-01]
13800 [3.52e-01]
13900 [3.52e-01]
14000 [3.52e-01]
14100 [3.51e-01]
14200 [3.50e-01]
14300 [3.51e-01]
14400 [3.49e-01]
14500 [3.48e-01]
14600 [3.48e-01]
14700 [3.48e-01]
14800 [3.46e-01]
14900 [3.46e-01]
15000 [3.46e-01]
15000 [3.46e-01]
