0 [1.00e-01]
2 [9.73e-02]
100 [1.04e-01]
200 [1.34e-01]
300 [6.08e-02]
400 [5.52e-02]
500 [4.92e-02]
600 [4.55e-02]
700 [4.37e-02]
800 [4.20e-02]
900 [4.01e-02]
1000 [3.93e-02]
1100 [3.91e-02]
1200 [3.96e-02]
1300 [4.05e-02]
1400 [4.19e-02]
1500 [4.45e-02]
1600 [4.73e-02]
1700 [5.18e-02]
1800 [5.69e-02]
1900 [6.32e-02]
2000 [7.18e-02]
2100 [8.26e-02]
2200 [9.52e-02]
2300 [1.13e-01]
2400 [1.32e-01]
2500 [1.55e-01]
2600 [1.86e-01]
2700 [2.28e-01]
2800 [2.69e-01]
2900 [3.02e-01]
3000 [3.16e-01]
3100 [3.33e-01]
3200 [3.53e-01]
3300 [3.75e-01]
3400 [4.00e-01]
3500 [4.33e-01]
3600 [4.70e-01]
3700 [5.21e-01]
3800 [5.78e-01]
3900 [6.37e-01]
4000 [7.00e-01]
4100 [7.53e-01]
4200 [8.00e-01]
4300 [8.40e-01]
4400 [8.86e-01]
4500 [9.29e-01]
4600 [9.67e-01]
4700 [9.98e-01]
4800 [1.02e+00]
4900 [1.05e+00]
5000 [1.05e+00]
5100 [1.07e+00]
5200 [1.08e+00]
5300 [1.09e+00]
5400 [1.10e+00]
5500 [1.10e+00]
5600 [1.11e+00]
5700 [1.12e+00]
5800 [1.13e+00]
5900 [1.14e+00]
6000 [1.14e+00]
6100 [1.15e+00]
6200 [1.16e+00]
6300 [1.16e+00]
6400 [1.16e+00]
6500 [1.17e+00]
6600 [1.17e+00]
6700 [1.18e+00]
6800 [1.18e+00]
6900 [1.18e+00]
7000 [1.18e+00]
7100 [1.19e+00]
7200 [1.19e+00]
7300 [1.19e+00]
7400 [1.19e+00]
7500 [1.20e+00]
7600 [1.20e+00]
7700 [1.20e+00]
7800 [1.20e+00]
7900 [1.20e+00]
8000 [1.21e+00]
8100 [1.20e+00]
8200 [1.21e+00]
8300 [1.22e+00]
8400 [1.22e+00]
8500 [1.22e+00]
8600 [1.23e+00]
8700 [1.23e+00]
8800 [1.23e+00]
8900 [1.23e+00]
9000 [1.23e+00]
9100 [1.22e+00]
9200 [1.22e+00]
9300 [1.22e+00]
9400 [1.22e+00]
9500 [1.22e+00]
9600 [1.22e+00]
9700 [1.22e+00]
9800 [1.22e+00]
9900 [1.22e+00]
10000 [1.22e+00]
10005 [1.22e+00]
10005 [1.22e+00]
