# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.578877449035644531e+00 2.087422370910644531e+00 5.458818435668945312e+00 6.909026503562927246e-01 1.844389364123344421e-02 2.025946235656738281e+01 3.497824072837829590e-02 3.043968975543975830e-02 5.489805713295936584e-03 7.754705429077148438e+00 2.056143760681152344e+00 5.425956726074218750e+00 6.909026503562927246e-01 1.844389364123344421e-02 2.025946235656738281e+01 3.497824072837829590e-02 3.043968975543975830e-02 5.489805713295936584e-03
1.000000000000000000e+03 9.229015558958053589e-04 4.419598728418350220e-03 2.624806249514222145e-03 2.107994854450225830e-01 3.558750177035108209e-05 3.223633289337158203e+00 8.608077466487884521e-02 3.694996848935261369e-05 1.923445761203765869e-01 4.859686596319079399e-04 3.025379264727234840e-03 2.433610381558537483e-03 2.107994854450225830e-01 3.558750177035108209e-05 3.223633289337158203e+00 8.608077466487884521e-02 3.694996848935261369e-05 1.923445761203765869e-01
2.000000000000000000e+03 5.376146873459219933e-04 4.419059026986360550e-03 3.953032195568084717e-03 1.909190416336059570e-01 2.724974183365702629e-05 2.712394475936889648e+00 8.272727578878402710e-02 2.721784767345525324e-05 1.682877838611602783e-01 2.931695198640227318e-04 2.773417392745614052e-03 1.694250386208295822e-03 1.909190416336059570e-01 2.724974183365702629e-05 2.712394475936889648e+00 8.272727578878402710e-02 2.721784767345525324e-05 1.682877838611602783e-01
3.000000000000000000e+03 1.642968039959669113e-03 2.501684240996837616e-02 2.833944372832775116e-02 1.110643669962882996e-01 8.749146218178793788e-05 2.712931156158447266e+00 4.676062241196632385e-02 1.025927485898137093e-04 1.541934460401535034e-01 8.765558595769107342e-04 2.189809270203113556e-02 1.129884645342826843e-02 1.110643669962882996e-01 8.749146218178793788e-05 2.712931156158447266e+00 4.676062241196632385e-02 1.025927485898137093e-04 1.541934460401535034e-01
4.000000000000000000e+03 1.722221611998975277e-03 5.851311609148979187e-02 2.480038907378911972e-03 1.196637842804193497e-02 7.062921940814703703e-05 2.706828594207763672e+00 5.763122346252202988e-03 5.878850060980767012e-05 1.529546529054641724e-01 1.254029688425362110e-03 2.927749603986740112e-02 1.642328687012195587e-03 1.196637842804193497e-02 7.062921940814703703e-05 2.706828594207763672e+00 5.763122346252202988e-03 5.878850060980767012e-05 1.529546529054641724e-01
5.000000000000000000e+03 6.474217516370117664e-04 2.416135976091027260e-03 6.514816777780652046e-04 4.430748522281646729e-03 1.605010038474574685e-05 2.794415950775146484e+00 1.780279213562607765e-03 9.349404535896610469e-06 7.553940266370773315e-02 4.308477509766817093e-04 2.347870962694287300e-03 5.600144504569470882e-04 4.430748522281646729e-03 1.605010038474574685e-05 2.794415950775146484e+00 1.780279213562607765e-03 9.349404535896610469e-06 7.553940266370773315e-02
6.000000000000000000e+03 8.122258004732429981e-04 3.350031375885009766e-01 3.164150053635239601e-03 2.758367918431758881e-03 6.156092276796698570e-04 2.615209102630615234e+00 1.009008614346385002e-03 5.951740895397961140e-04 2.621520757675170898e-01 3.762543492484837770e-04 2.117090374231338501e-01 1.987615367397665977e-03 2.758367918431758881e-03 6.156092276796698570e-04 2.615209102630615234e+00 1.009008614346385002e-03 5.951740895397961140e-04 2.621520757675170898e-01
7.000000000000000000e+03 2.811776357702910900e-04 9.430348873138427734e-04 3.338281239848583937e-04 2.312624827027320862e-03 6.648866929026553407e-06 2.713009357452392578e+00 5.369003047235310078e-04 3.088224502789671533e-06 1.401946097612380981e-01 1.827763335313647985e-04 8.978468831628561020e-04 3.198267077095806599e-04 2.312624827027320862e-03 6.648866929026553407e-06 2.713009357452392578e+00 5.369003047235310078e-04 3.088224502789671533e-06 1.401946097612380981e-01
8.000000000000000000e+03 2.760809147730469704e-04 1.812609378248453140e-03 3.845106984954327345e-04 2.077146200463175774e-03 1.010963205771986395e-05 2.722294569015502930e+00 5.903366836719214916e-04 6.427315383916720748e-06 1.303594708442687988e-01 1.903006632346659899e-04 1.606307923793792725e-03 2.259277389384806156e-04 2.077146200463175774e-03 1.010963205771986395e-05 2.722294569015502930e+00 5.903366836719214916e-04 6.427315383916720748e-06 1.303594708442687988e-01
9.000000000000000000e+03 2.054603246506303549e-04 6.827964680269360542e-04 2.827144635375589132e-04 1.635433989576995373e-03 5.438768312160391361e-06 2.714645147323608398e+00 2.653863630257546902e-04 2.625762363095418550e-06 1.372474133968353271e-01 1.172479242086410522e-04 7.432004786096513271e-04 2.527889446355402470e-04 1.635433989576995373e-03 5.438768312160391361e-06 2.714645147323608398e+00 2.653863630257546902e-04 2.625762363095418550e-06 1.372474133968353271e-01
