# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.686343550682067871e-01 1.460015416145324707e+00 1.808392629027366638e-02 0.000000000000000000e+00 7.422530055046081543e-01 1.693697273731231689e-01 2.127939701080322266e+00 1.808392629027366638e-02 0.000000000000000000e+00 7.422530055046081543e-01
6.000000000000000000e+00 6.237613037228584290e-02 1.355905830860137939e-01 6.243573036044836044e-03 0.000000000000000000e+00 1.430324614048004150e-01 6.146119162440299988e-02 2.096139192581176758e-01 6.243573036044836044e-03 0.000000000000000000e+00 1.430324614048004150e-01
1.000000000000000000e+03 3.014433787029702216e-05 5.446019349619746208e-05 2.674531742741237395e-06 0.000000000000000000e+00 2.417343239358160645e-05 6.960370228625833988e-04 4.766485944855958223e-04 2.674531742741237395e-06 0.000000000000000000e+00 2.417343239358160645e-05
2.000000000000000000e+03 1.021833395498106256e-05 2.081741149595472962e-05 7.863699806875956710e-07 0.000000000000000000e+00 5.597411472990643233e-06 6.091139512136578560e-04 3.238646604586392641e-04 7.863699806875956710e-07 0.000000000000000000e+00 5.597411472990643233e-06
3.000000000000000000e+03 5.661883733409922570e-06 1.145298210758483037e-05 3.467812916824186686e-07 0.000000000000000000e+00 2.678428245417308062e-06 5.234914715401828289e-04 2.172526292270049453e-04 3.467812916824186686e-07 0.000000000000000000e+00 2.678428245417308062e-06
4.000000000000000000e+03 3.680243708004127257e-06 6.791218766011297703e-06 1.859835379036667291e-07 0.000000000000000000e+00 1.641769358684541658e-06 4.014786682091653347e-04 1.642059505684301257e-04 1.859835379036667291e-07 0.000000000000000000e+00 1.641769358684541658e-06
5.000000000000000000e+03 2.552678097345051356e-06 4.103292212676024064e-06 1.181207878175882797e-07 0.000000000000000000e+00 1.103459226214908995e-06 3.108202945441007614e-04 1.403720816597342491e-04 1.181207878175882797e-07 0.000000000000000000e+00 1.103459226214908995e-06
6.000000000000000000e+03 1.210634218296036124e-04 3.360997943673282862e-04 2.077107865261496045e-06 0.000000000000000000e+00 3.251561720389872789e-04 4.141003882978111506e-04 4.364153719507157803e-04 2.077107865261496045e-06 0.000000000000000000e+00 3.251561720389872789e-04
7.000000000000000000e+03 5.207127742323791608e-06 1.325877474300796166e-05 8.500364856445230544e-07 0.000000000000000000e+00 6.362106432789005339e-06 1.440478954464197159e-04 9.797514940146356821e-05 8.500364856445230544e-07 0.000000000000000000e+00 6.362106432789005339e-06
8.000000000000000000e+03 3.106902795479982160e-06 1.326792585132352542e-06 5.763763155641754565e-08 0.000000000000000000e+00 1.054259655575151555e-06 1.094477411243133247e-04 6.826085154898464680e-05 5.763763155641754565e-08 0.000000000000000000e+00 1.054259655575151555e-06
9.000000000000000000e+03 8.633170182292815298e-06 4.505102879193145782e-06 1.011057477739996102e-07 0.000000000000000000e+00 1.710521428321953863e-05 8.360481297131627798e-05 4.469545820029452443e-05 1.011057477739996102e-07 0.000000000000000000e+00 1.710521428321953863e-05
1.000000000000000000e+04 7.940092245917185210e-07 1.145087480836082250e-06 9.040057591391814640e-08 0.000000000000000000e+00 6.494393574030254968e-07 5.476428850670345128e-05 3.599810224841348827e-05 9.040057591391814640e-08 0.000000000000000000e+00 6.494393574030254968e-07
1.100000000000000000e+04 7.230158189486246556e-06 3.624454166128998622e-06 3.966525810028542764e-07 0.000000000000000000e+00 3.997431122115813196e-06 3.282970646978355944e-05 2.809233774314634502e-05 3.966525810028542764e-07 0.000000000000000000e+00 3.997431122115813196e-06
1.200000000000000000e+04 2.919931318956514588e-07 2.607147848721069749e-07 1.817627648392772244e-08 0.000000000000000000e+00 1.274782874816082767e-07 2.450164174661040306e-05 1.563779187563341111e-05 1.817627648392772244e-08 0.000000000000000000e+00 1.274782874816082767e-07
1.300000000000000000e+04 3.078424981595162535e-07 3.341205285778414691e-07 1.039305885797148221e-08 0.000000000000000000e+00 3.221496172045590356e-07 1.398868334945291281e-05 1.012198026728583500e-05 1.039305885797148221e-08 0.000000000000000000e+00 3.221496172045590356e-07
1.400000000000000000e+04 1.288518092223966960e-07 1.503317861306641134e-07 8.365242720742571692e-09 0.000000000000000000e+00 4.751306192929405370e-08 7.958270543895196170e-06 6.596751973120262846e-06 8.365242720742571692e-09 0.000000000000000000e+00 4.751306192929405370e-08
1.500000000000000000e+04 8.146719210344599560e-08 7.938034229937329656e-08 5.078407028236142651e-09 0.000000000000000000e+00 2.064132154089293181e-08 4.526109023572644219e-06 4.070125214639119804e-06 5.078407028236142651e-09 0.000000000000000000e+00 2.064132154089293181e-08
1.500600000000000000e+04 8.112046145924978191e-08 7.904412768766633235e-08 5.062619212736763075e-09 0.000000000000000000e+00 2.055385905919138168e-08 4.532148977887118235e-06 4.072403044119710103e-06 5.062619212736763075e-09 0.000000000000000000e+00 2.055385905919138168e-08
1.500600000000000000e+04 8.112046145924978191e-08 7.904412768766633235e-08 5.062619212736763075e-09 0.000000000000000000e+00 2.055385905919138168e-08 4.532148977887118235e-06 4.072403044119710103e-06 5.062619212736763075e-09 0.000000000000000000e+00 2.055385905919138168e-08
1.587900000000000000e+04 8.004779061820954666e-08 7.801666868090251228e-08 5.044394679742936205e-09 0.000000000000000000e+00 2.016705025198461954e-08 4.514706688496517017e-06 4.061144863953813910e-06 5.044394679742936205e-09 0.000000000000000000e+00 2.016705025198461954e-08
1.630000000000000000e+04 7.957844161410321249e-08 7.756328557206870755e-08 5.033551797595237076e-09 0.000000000000000000e+00 2.001980625720989337e-08 4.506449386099120602e-06 4.059316779603250325e-06 5.033551797595237076e-09 0.000000000000000000e+00 2.001980625720989337e-08
