# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.131201723590493202e-03 1.559294323669746518e-04 4.979925155639648438e-01 1.135949423769488931e-05 1.133003272116184235e-03 7.204612484201788902e-05 4.617881029844284058e-02 2.975385403260588646e-03 1.076478292816318572e-04 4.979925155639648438e-01 1.135949423769488931e-05 1.133003272116184235e-03 7.204612484201788902e-05 4.617881029844284058e-02
2.000000000000000000e+00 2.893056487664580345e-03 1.152731056208722293e-04 4.517885744571685791e-01 2.557511288614477962e-05 6.573464721441268921e-03 2.337549667572602630e-04 2.169161438941955566e-01 2.878922969102859497e-03 8.189307845896109939e-05 4.517885744571685791e-01 2.557511288614477962e-05 6.573464721441268921e-03 2.337549667572602630e-04 2.169161438941955566e-01
1.000000000000000000e+03 4.788860678672790527e-03 2.526895143091678619e-02 2.059705257415771484e-01 3.480731975287199020e-03 1.579430652782320976e-03 2.247703447937965393e-02 1.729169453028589487e-04 6.760243792086839676e-03 1.868367940187454224e-02 2.059705257415771484e-01 3.480731975287199020e-03 1.579430652782320976e-03 2.247703447937965393e-02 1.729169453028589487e-04
2.000000000000000000e+03 4.482893273234367371e-03 2.562626078724861145e-02 2.034422606229782104e-01 3.530187532305717468e-03 1.814467599615454674e-03 2.313103899359703064e-02 4.294748214306309819e-05 6.926803383976221085e-03 1.923512667417526245e-02 2.034422606229782104e-01 3.530187532305717468e-03 1.814467599615454674e-03 2.313103899359703064e-02 4.294748214306309819e-05
3.000000000000000000e+03 4.341377411037683487e-03 2.511531487107276917e-02 2.008291333913803101e-01 3.595160786062479019e-03 1.832925481721758842e-03 2.381213009357452393e-02 1.360550522804260254e-04 6.505054421722888947e-03 1.889682561159133911e-02 2.008291333913803101e-01 3.595160786062479019e-03 1.832925481721758842e-03 2.381213009357452393e-02 1.360550522804260254e-04
4.000000000000000000e+03 3.854159964248538017e-03 2.311263605952262878e-02 1.960176080465316772e-01 3.734695492312312126e-03 1.734557561576366425e-03 2.474736608564853668e-02 3.905892372131347656e-04 5.212367046624422073e-03 1.706009358167648315e-02 1.960176080465316772e-01 3.734695492312312126e-03 1.734557561576366425e-03 2.474736608564853668e-02 3.905892372131347656e-04
5.000000000000000000e+03 3.955973777920007706e-03 1.903531886637210846e-02 1.876206845045089722e-01 4.116069059818983078e-03 2.045750617980957031e-03 2.678702399134635925e-02 5.123786395415663719e-04 5.096565000712871552e-03 1.285787485539913177e-02 1.876206845045089722e-01 4.116069059818983078e-03 2.045750617980957031e-03 2.678702399134635925e-02 5.123786395415663719e-04
6.000000000000000000e+03 3.272719681262969971e-03 1.763666048645973206e-02 1.810725331306457520e-01 4.423356615006923676e-03 1.892041065730154514e-03 2.868933603167533875e-02 2.340239152545109391e-04 3.763485001400113106e-03 1.030257251113653183e-02 1.810725331306457520e-01 4.423356615006923676e-03 1.892041065730154514e-03 2.868933603167533875e-02 2.340239152545109391e-04
7.000000000000000000e+03 3.852293128147721291e-03 1.648591086268424988e-02 1.770395785570144653e-01 4.591407719999551773e-03 1.755538396537303925e-03 2.986331656575202942e-02 2.444416750222444534e-04 4.359606187790632248e-03 9.050436317920684814e-03 1.770395785570144653e-01 4.591407719999551773e-03 1.755538396537303925e-03 2.986331656575202942e-02 2.444416750222444534e-04
8.000000000000000000e+03 3.549100831151008606e-03 1.589796878397464752e-02 1.731199324131011963e-01 4.756101407110691071e-03 1.746123190969228745e-03 3.124003484845161438e-02 6.665159162366762757e-05 3.611182561144232750e-03 7.572868838906288147e-03 1.731199324131011963e-01 4.756101407110691071e-03 1.746123190969228745e-03 3.124003484845161438e-02 6.665159162366762757e-05
9.000000000000000000e+03 3.406760515645146370e-03 1.525498833507299423e-02 1.719209551811218262e-01 4.776383750140666962e-03 1.628313679248094559e-03 3.157623484730720520e-02 6.015036342432722449e-05 3.793878247961401939e-03 7.912208326160907745e-03 1.719209551811218262e-01 4.776383750140666962e-03 1.628313679248094559e-03 3.157623484730720520e-02 6.015036342432722449e-05
1.000000000000000000e+04 3.599757794290781021e-03 1.429332233965396881e-02 1.685186326503753662e-01 4.918759223073720932e-03 1.583003206178545952e-03 3.259839117527008057e-02 6.770340405637398362e-05 4.217737354338169098e-03 6.496762856841087341e-03 1.685186326503753662e-01 4.918759223073720932e-03 1.583003206178545952e-03 3.259839117527008057e-02 6.770340405637398362e-05
