# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.564581871032714844e-01 4.218181595206260681e-03 3.489537164568901062e-03 0.000000000000000000e+00 3.546628057956695557e-01 2.758251428604125977e-01 2.115653038024902344e+00 2.769508585333824158e-02 3.489537164568901062e-03 0.000000000000000000e+00 3.546628057956695557e-01 2.758251428604125977e-01
1.000000000000000000e+03 2.058599330484867096e-02 3.577837022021412849e-03 7.914006710052490234e-03 0.000000000000000000e+00 1.456848252564668655e-02 1.974091306328773499e-02 8.694482594728469849e-02 5.049866624176502228e-03 7.914006710052490234e-03 0.000000000000000000e+00 1.456848252564668655e-02 1.974091306328773499e-02
2.000000000000000000e+03 1.405422203242778778e-02 1.503608888015151024e-03 1.264139916747808456e-02 0.000000000000000000e+00 1.362362224608659744e-02 1.394149381667375565e-02 1.834962218999862671e-01 5.953627172857522964e-03 1.264139916747808456e-02 0.000000000000000000e+00 1.362362224608659744e-02 1.394149381667375565e-02
3.000000000000000000e+03 1.361963246017694473e-02 1.235761563293635845e-03 1.270604133605957031e-02 0.000000000000000000e+00 1.335186790674924850e-02 1.300793047994375229e-02 2.565895318984985352e-01 1.188962347805500031e-02 1.270604133605957031e-02 0.000000000000000000e+00 1.335186790674924850e-02 1.300793047994375229e-02
4.000000000000000000e+03 1.387907285243272781e-02 1.084209186956286430e-03 1.276634819805622101e-02 0.000000000000000000e+00 1.148822437971830368e-02 1.330281421542167664e-02 2.836210727691650391e-01 1.427267771214246750e-02 1.276634819805622101e-02 0.000000000000000000e+00 1.148822437971830368e-02 1.330281421542167664e-02
5.000000000000000000e+03 1.376738492399454117e-02 1.133636338636279106e-03 1.265120320022106171e-02 0.000000000000000000e+00 1.215821225196123123e-02 1.110960170626640320e-02 2.824880778789520264e-01 1.416531670838594437e-02 1.265120320022106171e-02 0.000000000000000000e+00 1.215821225196123123e-02 1.110960170626640320e-02
6.000000000000000000e+03 1.304552424699068069e-02 1.194230047985911369e-03 1.261818222701549530e-02 0.000000000000000000e+00 1.169910654425621033e-02 1.129577215760946274e-02 2.519488632678985596e-01 1.208629645407199860e-02 1.261818222701549530e-02 0.000000000000000000e+00 1.169910654425621033e-02 1.129577215760946274e-02
7.000000000000000000e+03 1.243077311664819717e-02 1.368952332995831966e-03 1.227402873337268829e-02 0.000000000000000000e+00 1.181762386113405228e-02 1.085902098566293716e-02 2.244721800088882446e-01 1.544181071221828461e-02 1.227402873337268829e-02 0.000000000000000000e+00 1.181762386113405228e-02 1.085902098566293716e-02
8.000000000000000000e+03 1.193153485655784607e-02 1.538999145850539207e-03 1.191836502403020859e-02 0.000000000000000000e+00 1.201253477483987808e-02 1.040302403271198273e-02 2.139890938997268677e-01 2.287425100803375244e-02 1.191836502403020859e-02 0.000000000000000000e+00 1.201253477483987808e-02 1.040302403271198273e-02
9.000000000000000000e+03 1.181246619671583176e-02 1.622494310140609741e-03 1.195845939218997955e-02 0.000000000000000000e+00 1.229635626077651978e-02 9.617658331990242004e-03 2.093044370412826538e-01 3.627938032150268555e-02 1.195845939218997955e-02 0.000000000000000000e+00 1.229635626077651978e-02 9.617658331990242004e-03
1.000000000000000000e+04 1.226676721125841141e-02 1.838318654336035252e-03 1.206108368933200836e-02 0.000000000000000000e+00 9.078008122742176056e-03 1.217573881149291992e-02 2.038455903530120850e-01 4.933952912688255310e-02 1.206108368933200836e-02 0.000000000000000000e+00 9.078008122742176056e-03 1.217573881149291992e-02
1.100000000000000000e+04 1.183014363050460815e-02 1.623422838747501373e-03 1.175689045339822769e-02 0.000000000000000000e+00 1.132322009652853012e-02 9.935450740158557892e-03 1.950128972530364990e-01 4.630132764577865601e-02 1.175689045339822769e-02 0.000000000000000000e+00 1.132322009652853012e-02 9.935450740158557892e-03
1.200000000000000000e+04 1.116275694221258163e-02 1.730633899569511414e-03 1.211199723184108734e-02 0.000000000000000000e+00 1.037060003727674484e-02 1.093436032533645630e-02 1.836410164833068848e-01 4.570263624191284180e-02 1.211199723184108734e-02 0.000000000000000000e+00 1.037060003727674484e-02 1.093436032533645630e-02
1.300000000000000000e+04 1.167113520205020905e-02 1.646434655413031578e-03 1.170304324477910995e-02 0.000000000000000000e+00 1.072882022708654404e-02 9.922799654304981232e-03 1.840219050645828247e-01 5.373296141624450684e-02 1.170304324477910995e-02 0.000000000000000000e+00 1.072882022708654404e-02 9.922799654304981232e-03
1.400000000000000000e+04 1.051572524011135101e-02 1.710777753032743931e-03 1.182262133806943893e-02 0.000000000000000000e+00 1.150853186845779419e-02 9.796995669603347778e-03 1.702714413404464722e-01 6.292454898357391357e-02 1.182262133806943893e-02 0.000000000000000000e+00 1.150853186845779419e-02 9.796995669603347778e-03
1.500000000000000000e+04 1.128956209868192673e-02 1.680325483903288841e-03 1.172748021781444550e-02 0.000000000000000000e+00 1.053302455693483353e-02 9.430633857846260071e-03 1.711399406194686890e-01 6.477695703506469727e-02 1.172748021781444550e-02 0.000000000000000000e+00 1.053302455693483353e-02 9.430633857846260071e-03
