# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.168361425399780273e+00 6.839647293090820312e-01 3.665217161178588867e-01 6.973280310630798340e-01 3.112266538664698601e-03 2.146551704406738281e+01 3.461184352636337280e-02 6.253398489207029343e-03 2.191091537475585938e+00 6.502496004104614258e-01 3.511999249458312988e-01 6.973280310630798340e-01 3.112266538664698601e-03 2.146551704406738281e+01 3.461184352636337280e-02 6.253398489207029343e-03
1.000000000000000000e+03 1.934152824105694890e-04 2.003812696784734726e-03 5.234108306467533112e-03 2.066583931446075439e-01 6.726780611643334851e-06 1.580201387405395508e-01 8.898968994617462158e-02 5.895498361496720463e-06 1.098395659937523305e-04 8.589750505052506924e-04 3.985033370554447174e-03 2.066583931446075439e-01 6.726780611643334851e-06 1.580201387405395508e-01 8.898968994617462158e-02 5.895498361496720463e-06
2.000000000000000000e+03 9.487405186519026756e-04 4.380397964268922806e-03 4.201957024633884430e-03 1.537265926599502563e-01 3.762457345146685839e-05 2.184224314987659454e-02 6.952090561389923096e-02 4.311745578888803720e-05 6.248466670513153076e-04 2.440757583826780319e-03 2.242375630885362625e-03 1.537265926599502563e-01 3.762457345146685839e-05 2.184224314987659454e-02 6.952090561389923096e-02 4.311745578888803720e-05
3.000000000000000000e+03 5.204335902817547321e-04 2.969871042296290398e-03 1.545169274322688580e-03 4.785266891121864319e-02 2.131227847712580115e-05 1.590066775679588318e-02 1.764052174985408783e-02 3.001384175149723887e-05 2.997221599798649549e-04 2.675947733223438263e-03 9.864787571132183075e-04 4.785266891121864319e-02 2.131227847712580115e-05 1.590066775679588318e-02 1.764052174985408783e-02 3.001384175149723887e-05
4.000000000000000000e+03 3.900637384504079819e-04 1.103428541682660580e-03 8.049008902162313461e-04 9.181821718811988831e-03 5.389199486671714112e-06 9.628382511436939240e-03 4.051713738590478897e-03 1.003610213956562802e-05 2.324355300515890121e-04 7.595435017719864845e-04 5.522971623577177525e-04 9.181821718811988831e-03 5.389199486671714112e-06 9.628382511436939240e-03 4.051713738590478897e-03 1.003610213956562802e-05
5.000000000000000000e+03 2.657348522916436195e-04 7.721454603597521782e-04 5.313761066645383835e-04 6.133188027888536453e-03 3.939883754355832934e-06 7.553357165306806564e-03 1.512061920948326588e-03 6.169301286718109623e-06 1.365908101433888078e-04 6.573952268809080124e-04 3.760122635867446661e-04 6.133188027888536453e-03 3.939883754355832934e-06 7.553357165306806564e-03 1.512061920948326588e-03 6.169301286718109623e-06
6.000000000000000000e+03 1.706070906948298216e-04 4.923947853967547417e-04 3.523002378642559052e-04 5.446718540042638779e-03 4.105911102669779211e-06 6.378444842994213104e-03 1.168168266303837299e-03 4.820410595129942521e-06 9.268268331652507186e-05 3.343928547110408545e-04 2.932663774117827415e-04 5.446718540042638779e-03 4.105911102669779211e-06 6.378444842994213104e-03 1.168168266303837299e-03 4.820410595129942521e-06
7.000000000000000000e+03 2.166002959711477160e-04 5.952000617980957031e-03 1.344828284345567226e-03 6.116516888141632080e-03 1.546692510601133108e-05 5.464257206767797470e-03 2.337730024009943008e-03 1.565599632158409804e-05 9.742646943777799606e-05 4.405537620186805725e-03 6.996104493737220764e-04 6.116516888141632080e-03 1.546692510601133108e-05 5.464257206767797470e-03 2.337730024009943008e-03 1.565599632158409804e-05
8.000000000000000000e+03 1.307307393290102482e-04 3.499263199046254158e-03 6.062203901819884777e-04 4.151577595621347427e-03 4.518169589573517442e-06 4.524344112724065781e-03 7.483467925339937210e-04 2.910848024839651771e-06 9.227600821759551764e-05 2.257506828755140305e-03 3.718081861734390259e-04 4.151577595621347427e-03 4.518169589573517442e-06 4.524344112724065781e-03 7.483467925339937210e-04 2.910848024839651771e-06
9.000000000000000000e+03 7.186244474723935127e-04 3.035921370610594749e-03 2.183716133004054427e-04 3.459016326814889908e-03 4.627068392437649891e-06 3.676921129226684570e-03 7.198297535069286823e-04 3.693341341204359196e-06 7.732990197837352753e-04 1.480193459428846836e-03 2.685655490495264530e-04 3.459016326814889908e-03 4.627068392437649891e-06 3.676921129226684570e-03 7.198297535069286823e-04 3.693341341204359196e-06
